customerid,gender,age,annual_income_k,spending_score_(1-100),cluster_2d,cluster_3d,income_tier,quadrant
119,Female,51,67,43,0,0,Medium,"High income, low score"
120,Female,50,67,57,0,0,Medium,"High income, high score"
121,Male,27,67,56,0,3,Medium,"High income, high score"
122,Female,38,67,40,0,3,Medium,"High income, low score"
123,Female,40,69,58,0,1,Medium,"High income, high score"
124,Male,39,69,91,1,1,Medium,"High income, high score"
125,Female,23,70,29,3,3,High,"High income, low score"
126,Female,31,70,77,1,1,High,"High income, high score"
127,Male,43,71,35,0,4,High,"High income, low score"
128,Male,40,71,95,1,1,High,"High income, high score"
129,Male,59,71,11,3,4,High,"High income, low score"
130,Male,38,71,75,1,1,High,"High income, high score"
131,Male,47,71,9,3,4,High,"High income, low score"
132,Male,39,71,75,1,1,High,"High income, high score"
133,Female,25,72,34,0,3,High,"High income, low score"
134,Female,31,72,71,1,1,High,"High income, high score"
135,Male,20,73,5,3,3,High,"High income, low score"
136,Female,29,73,88,1,1,High,"High income, high score"
137,Female,44,73,7,3,4,High,"High income, low score"
138,Male,32,73,73,1,1,High,"High income, high score"
139,Male,19,74,10,3,3,High,"High income, low score"
140,Female,35,74,72,1,1,High,"High income, high score"
141,Female,57,75,5,3,4,High,"High income, low score"
142,Male,32,75,93,1,1,High,"High income, high score"
143,Female,28,76,40,0,3,High,"High income, low score"
144,Female,32,76,87,1,1,High,"High income, high score"
145,Male,25,77,12,3,3,High,"High income, low score"
146,Male,28,77,97,1,1,High,"High income, high score"
147,Male,48,77,36,3,4,High,"High income, low score"
148,Female,32,77,74,1,1,High,"High income, high score"
149,Female,34,78,22,3,4,High,"High income, low score"
150,Male,34,78,90,1,1,High,"High income, high score"
151,Male,43,78,17,3,4,High,"High income, low score"
152,Male,39,78,88,1,1,High,"High income, high score"
153,Female,44,78,20,3,4,High,"High income, low score"
154,Female,38,78,76,1,1,High,"High income, high score"
155,Female,47,78,16,3,4,High,"High income, low score"
156,Female,27,78,89,1,1,High,"High income, high score"
157,Male,37,78,1,3,4,High,"High income, low score"
158,Female,30,78,78,1,1,High,"High income, high score"
159,Male,34,78,1,3,4,High,"High income, low score"
160,Female,30,78,73,1,1,High,"High income, high score"
161,Female,56,79,35,3,4,High,"High income, low score"
162,Female,29,79,83,1,1,High,"High income, high score"
163,Male,19,81,5,3,3,High,"High income, low score"
164,Female,31,81,93,1,1,High,"High income, high score"
165,Male,50,85,26,3,4,High,"High income, low score"
166,Female,36,85,75,1,1,High,"High income, high score"
167,Male,42,86,20,3,4,High,"High income, low score"
168,Female,33,86,95,1,1,High,"High income, high score"
169,Female,36,87,27,3,4,High,"High income, low score"
170,Male,32,87,63,1,1,High,"High income, high score"
171,Male,40,87,13,3,4,High,"High income, low score"
172,Male,28,87,75,1,1,High,"High income, high score"
173,Male,36,87,10,3,4,High,"High income, low score"
174,Male,36,87,92,1,1,High,"High income, high score"
175,Female,52,88,13,3,4,High,"High income, low score"
176,Female,30,88,86,1,1,High,"High income, high score"
177,Male,58,88,15,3,4,High,"High income, low score"
178,Male,27,88,69,1,1,High,"High income, high score"
179,Male,59,93,14,3,4,High,"High income, low score"
180,Male,35,93,90,1,1,High,"High income, high score"
181,Female,37,97,32,3,4,High,"High income, low score"
182,Female,32,97,86,1,1,High,"High income, high score"
183,Male,46,98,15,3,4,High,"High income, low score"
184,Female,29,98,88,1,1,High,"High income, high score"
185,Female,41,99,39,3,4,High,"High income, low score"
186,Male,30,99,97,1,1,High,"High income, high score"
187,Female,54,101,24,3,4,High,"High income, low score"
188,Male,28,101,68,1,1,High,"High income, high score"
189,Female,41,103,17,3,4,High,"High income, low score"
190,Female,36,103,85,1,1,High,"High income, high score"
191,Female,34,103,23,3,4,High,"High income, low score"
192,Female,32,103,69,1,1,High,"High income, high score"
193,Male,33,113,8,3,4,High,"High income, low score"
194,Female,38,113,91,1,1,High,"High income, high score"
195,Female,47,120,16,3,4,High,"High income, low score"
196,Female,35,120,79,1,1,High,"High income, high score"
197,Female,45,126,28,3,4,High,"High income, low score"
198,Male,32,126,74,1,1,High,"High income, high score"
199,Male,32,137,18,3,4,High,"High income, low score"
200,Male,30,137,83,1,1,High,"High income, high score"
